Rank,Nome do Filme,Data de Lançamento,País de Origem,Link
227,O Exterminador do Futuro,,,https://www.imdb.com/pt/title/tt0088247/
228,Jai Bhim,2 de novembro de 2021 (Brasil),"Índia, Estados Unidos da América",https://www.imdb.com/pt/title/tt15097216/
229,O 3º Homem,,,https://www.imdb.com/pt/title/tt0041959/
230,Os Melhores Anos de Nossas Vidas,,,https://www.imdb.com/pt/title/tt0036868/
231,O Grande Lebowski,,,https://www.imdb.com/pt/title/tt0118715/
232,Antes do Pôr do Sol,,,https://www.imdb.com/pt/title/tt0381681/
233,O Quarto de Jack,18 de fevereiro de 2016 (Brasil),"Irlanda, Canadá, Reino Unido, Estados Unidos da América",https://www.imdb.com/pt/title/tt3170832/
234,Os Incríveis,,,https://www.imdb.com/pt/title/tt0317705/
235,O Sétimo Selo,,,https://www.imdb.com/pt/title/tt0050976/
236,Sempre ao Seu Lado,25 de dezembro de 2009 (Brasil),"Reino Unido, Estados Unidos da América",https://www.imdb.com/pt/title/tt1028532/
237,Hotel Ruanda,19 de agosto de 2005 (Brasil),"Estados Unidos da América, Reino Unido, África do Sul, Itália",https://www.imdb.com/pt/title/tt0395169/
238,Platoon,14 de junho de 2024 (Índia),Índia,https://www.imdb.com/pt/title/tt0091763/
239,O Exorcista,11 de novembro de 1974 (Brasil),Estados Unidos da América,https://www.imdb.com/pt/title/tt0070047/
240,O Gigante de Ferro,19 de agosto de 2005 (Brasil),"Estados Unidos da América, Reino Unido, África do Sul, Itália",https://www.imdb.com/pt/title/tt0129167/
241,Rush: No Limite da Emoção,,,https://www.imdb.com/pt/title/tt1979320/
242,O Mágico de Oz,18 de setembro de 1939 (Brasil),Estados Unidos da América,https://www.imdb.com/pt/title/tt0032138/
243,Conta Comigo,25 de dezembro de 2009 (Brasil),"Reino Unido, Estados Unidos da América",https://www.imdb.com/pt/title/tt0092005/
244,Meu Pai e Meu Filho,,,https://www.imdb.com/pt/title/tt0476735/
245,A Batalha de Argel,12 de julho de 1982 (Brasil),"Itália, Argélia",https://www.imdb.com/pt/title/tt0058946/
246,O Martírio de Joana D&apos;Arc,,,https://www.imdb.com/pt/title/tt0019254/
247,A Criada,,,https://www.imdb.com/pt/title/tt4016934/
248,Rede de Intrigas,,,https://www.imdb.com/pt/title/tt0074958/
249,Milagre na Cela 7,12 de julho de 1982 (Brasil),"Itália, Argélia",https://www.imdb.com/pt/title/tt10431500/
250,Drishyam 2,,,https://www.imdb.com/pt/title/tt12361178/
